id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sol,0,0,OTHER,0,0.000005,0,0,OTHER,-26.7,4.85,0.656,OTHER,NULL,OTHER,NULL,NULL,OTHER,NULL,NULL,NULL,G2 V,OTHER
21,5841-1155-1,2.34187167309008E+018,2,2,224690,NULL,NULL,NULL,NULL,Cet,NULL,0.00028401,-19.49883522,T,37.3164,35.176,0.003,-12.456,G_R3,9.27,6.411,0.999,HIP,6.83,G_R3,179.805,-1.041,G_R3,6.375,31.807,-2.454,K3 V,T
82,2267-1192-1,2.8751258103102E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,And,NULL,0.00113504,34.18855925,T,49.5189,40.962,0.012,27.826,G_R3,8.567,5.093,0.723,T,-31.18,G_R3,-227.366,-56.934,G_R3,-18.266,-53.378,-28.576,NULL,N
268,4666-461-1,2.44781528778306E+018,18,18,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.0035227,-4.05369044,T,43.8924,43.783,0.04,-3.103,G_R3,11.03,7.818,1.567,HIP,25.532,G_R3,-119.288,24.122,G_R3,25.846,-24.796,3.202,K5,HYG
611,9354-161-1,4.6354225889824E+018,38,38,224752,NULL,NULL,NULL,NULL,Oct,NULL,0.00753952,-79.0619839,T,40.0972,7.608,0.015,-39.369,G_R3,8.65,5.634,0.778,HIP,9.833,G_R3,162.425,-62.09,G_R3,-9.783,30.854,-11.893,G6 V,T
743,8467-95-1,4.92251005715612E+018,47,47,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.009006,-56.835602,HIP_X,45.1616,24.706,0.058,-37.805,G_R3,10.78,7.506,1.15,HIP,11.541,G_R3,-44.907,-145.44,G_R3,-19.729,-9.661,-26.694,K3V,HYG
894,1181-1683-1,2.77408739186625E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.01090221,18.4888612,T,33.5698,31.837,0.091,10.646,G_R3,11.278,8.648,1.635,T,41.831,G_R3,334.745,195.813,G_R3,29.638,53.355,42.818,NULL,N
920,9134-449-1,4.70323730508737E+018,57,57,224789,NULL,NULL,NULL,NULL,Tuc,NULL,0.01120033,-69.67596717,T,29.304,10.178,0.03,-27.48,G_R3,8.27,5.935,0.863,HIP,36.653,G_R3,-40.605,-67.653,G_R3,3.934,-5.629,-37.635,K2 V,T
943,4018-2879-1,4.29915991435184E+017,58,58,224792,NULL,NULL,NULL,NULL,Cas,NULL,0.01156763,62.17589889,T,38.3071,17.88,0.054,33.878,G_R3,7.05,4.134,0.52,HIP,3.941,G_R3,-46.955,-43.467,G_R3,8.846,-8.5,-0.199,G0,T
1074,1178-1142-1,2.7729046953106E+018,68,68,224808,NULL,NULL,NULL,NULL,Peg,NULL,0.01336375,16.98822044,T,30.067,28.7547,0.1009,8.7843,G_R3,8.79,6.4,0.94,HIP,-21.9,HYG,-52.202,-307.385,G_R3,-8.118,-7.469,-48.299,K0,HYG
1195,2271-1660-1,2.87705088337143E+018,74,74,NULL,NULL,NULL,NULL,NULL,And,NULL,0.01482426,35.75262975,T,41.9987,34.084,0.132,24.539,G_R3,9.93,6.814,1.068,HIP,-4,G_R3,158.802,-41.165,G_R3,1.42,31.622,-8.988,K5,HYG
1308,4666-884-1,2.44468618076941E+018,81,81,224828,NULL,NULL,NULL,NULL,Psc,NULL,0.01622769,-4.93253126,T,45.0262,44.859,0.191,-3.871,G_R3,8.57,5.303,0.642,HIP,0.163,G_R3,-187.001,-173.233,G_R3,-2.847,-39.927,-36.853,G5 V,T
1447,6412-410-1,2.33983737041983E+018,NULL,NULL,224832,NULL,NULL,NULL,NULL,Cet,NULL,0.0178241,-23.44033146,T,33.3402,30.588,0.143,-13.263,G_R3,9.503,6.888,1.259,T,7.778,G_R3,67.335,-168.005,G_R3,-3.476,10.626,-27.456,K3 V,T
1656,600-1507-1,2.76738738032449E+018,96,96,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.02033104,13.97509506,T,36.5756,35.493,0.1894,8.8335,G_R3,10.46,7.644,1.36,HIP,NULL,N,15.608,150.05,G_R3,-6.297,2.673,25.246,M0,HYG
1925,2267-1234-1,2.87522332324824E+018,111,111,NULL,NULL,NULL,NULL,NULL,And,NULL,0.02332462,34.28184969,T,38.1085,31.488,0.192,21.465,G_R3,11.28,8.375,1.308,HIP,-0.044,G_R3,254.675,-5.2,G_R3,0.212,46.01,-0.801,M2,HYG
1961,5838-784-1,2.41487058652024E+018,112,112,NULL,NULL,GJ 1293,NULL,NULL,Cet,NULL,0.02384217,-16.94844647,T,31.4862,30.118,0.188,-9.179,G_R3,10.76,8.269,1.384,HIP,0.468,G_R3,293.902,-253.436,G_R3,-10.854,43.801,-36.321,M1.5V:,HYG
2531,1184-386-1,2.84674920190344E+018,144,143,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.03037692,21.46249509,T,43.4051,40.394,0.321,15.882,G_R3,10.35,7.162,1.033,HIP,-16.502,G_R3,177.859,149.56,G_R3,-26.908,36.384,22.602,K3,HYG
2988,9134-1714-1,NULL,169,169,224953,NULL,GJ 1294A,NULL,NULL,Tuc,NULL,0.03575425,-68.28071652,T,15.328,5.672,0.053,-14.24,HIP,9.24,8.313,1.39,HIP,NULL,N,207.45,-231.8,HYG,-15.788,14.927,-6.233,M0V,HYG
3017,NULL,4.99487709499726E+018,119615,NULL,NULL,NULL,Gl 915,NULL,NULL,Phe,NULL,0.036059,-43.165974,GJ,8.3323403961028,6.077,0.058,-5.7,G_R3,13.05,13.446,0.07,GJ,48.7,OTHER,613.785,-686.989,G_R3,16.727,24.403,-53.108,NULL,NULL
3023,1732-2731-1,2.85390087220789E+018,171,171,224930,9088,Gl 914A,NULL,85,Peg,NULL,0.03616312,27.08209071,T,12.3185,10.9673,0.1043,5.6076,G_R3,5.8,5.347,0.69,HIP,-37.6,HYG,716.46,-941.497,G_R3,-8.843,41.756,-66.069,G3V,HYG
3183,8464-1075-1,4.9720580711942E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.03791194,-53.57997175,T,48.4068,28.738,0.285,-38.952,G_R3,11.665,8.24,1.984,T,18.484,G_R3,12.741,-122.676,G_R3,-11.707,2.808,-31.587,NULL,N
3222,4014-525-1,4.29335036979069E+017,NULL,NULL,240476,NULL,NULL,NULL,NULL,Cas,NULL,0.03832114,60.50599845,T,38.2271,18.819,0.189,33.273,G_R3,9.814,6.902,1.083,T,-9.697,G_R3,-71.476,-98.518,G_R3,10.895,-12.844,-17.23,NULL,N
3303,597-954-1,2.76546289137812E+018,184,184,224983,NULL,NULL,NULL,NULL,Peg,NULL,0.03931741,11.00623617,T,33.7964,33.173,0.341,6.452,G_R3,8.48,5.836,0.888,HIP,-17.642,G_R3,-4.919,-42.738,G_R3,-16.001,-0.953,-10.089,K0,T
3424,8022-637-1,4.99114318786955E+018,191,191,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.04081914,-46.02884131,T,36.9501,25.6532,0.2744,-26.593,G_R3,12.43,9.592,1.49,HIP,NULL,N,200.978,-11.719,G_R3,-1.853,35.186,-1.425,M3,HYG
3482,594-374-1,2.74688355005075E+018,194,194,225003,9093,NULL,NULL,32,Psc,NULL,0.04158384,8.48546279,T,37.5561,37.143,0.404,5.542,G_R3,5.7,2.827,0.315,HIP,10.919,G_R3,-93.867,-46.971,G_R3,12.214,-16.58,-6.66,F 2 V A,T
3706,NULL,2.31282126630222E+018,117955,NULL,NULL,NULL,GJ 3001,NULL,NULL,Scl,NULL,0.044479,-34.226836,GJ,14.8084307357865,12.243,0.143,-8.329,G_R3,14.9,14.047,0.46,GJ,NULL,OTHER,152.212,-762.221,G_R3,-30.219,10.334,-44.241,NULL,NULL
3867,1-903-1,2.73905970018475E+018,224,223,225028,NULL,NULL,NULL,NULL,Psc,NULL,0.04643806,2.13012782,T,42.7876,42.755,0.52,1.59,G_R3,7.17,4.013,0.617,HIP,NULL,N,62.34,-93.353,G_R3,0.55,12.652,-18.922,F8/G0 V,T
4152,1178-920-1,2.77286827398913E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.05010764,16.92931919,T,47.5251,45.462,0.596,13.839,G_R3,11.202,7.817,1.319,T,-11.831,G_R3,117.123,32.788,G_R3,-13.814,26.208,3.622,NULL,N
4515,9346-149-1,4.68522379993122E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oct,NULL,0.05513037,-75.55586284,T,43.3439,10.81,0.156,-41.974,G_R3,12.141,8.956,1.781,T,-39.387,G_R3,303.308,23.652,G_R3,-6.017,62.241,39.354,NULL,N
4527,4-1063-1,2.74190169722427E+018,263,263,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.05528252,4.68713578,T,28.6707,28.572,0.4133,2.3423,G_R3,12.04,9.753,1.473,HIP,NULL,N,-25.633,-84.211,G_R3,0.986,-3.47,-11.407,M1,HYG
5029,6418-1222-1,2.33312028208727E+018,296,296,225118,NULL,NULL,NULL,NULL,Scl,NULL,0.06152282,-28.39619616,T,40.2716,35.422,0.571,-19.152,G_R3,8.24,5.215,0.78,HIP,10.897,G_R3,281.146,-142.102,G_R3,-4.18,53.612,-29.046,G8 V,T
5294,6418-1218-1,2.33307341540414E+018,305,305,225155,NULL,NULL,NULL,NULL,Scl,NULL,0.06482256,-28.39381755,T,49.6623,43.6819,0.7412,-23.6155,G_R3,7.66,4.18,0.741,HIP,-20.62,G_R3,91.858,-18.01,G_R3,-20.52,21.28,6.076,G5 IV,T
5985,8467-293-1,4.91944496233522E+018,350,350,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.073275,-57.32268931,T,48.4674,26.163,0.502,-40.796,G_R3,10.37,6.943,1.1,HIP,28.89,G_R3,-39.541,73.307,G_R3,29.944,-8.512,-15.224,NULL,N
6008,8022-285-1,4.9901014006022E+018,351,351,225208,NULL,NULL,NULL,NULL,Phe,NULL,0.07357757,-47.0680472,T,47.8932,32.615,0.628,-35.066,G_R3,9.8,6.399,0.855,HIP,-4.84,G_R3,292.648,35.476,G_R3,1.32,66.48,9.03,K0 V,T
6353,NULL,4.99614115541198E+018,117956,NULL,NULL,NULL,GJ 1001,NULL,NULL,Phe,NULL,0.077898,-40.705153,GJ,12.3118442403961,9.331,0.191,-8.029,G_R3,12.84,12.388,1.63,GJ,-3,OTHER,677.675,-1505.616,G_R3,-60.377,38.329,-64.658,NULL,NULL
6652,2267-101-1,NULL,394,394,225239,9107,GJ 3002,NULL,NULL,And,NULL,0.08159979,34.6597839,T,35.3568,29.0759,0.6217,20.1079,G_R2,6.09,3.348,0.632,HIP,6.4,HYG,769.11,100.49,HYG,-7.067,128.787,17.494,G2V,T
6699,6995-327-1,2.30771699364021E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Scl,NULL,0.08220508,-37.29819637,T,47.8101,38.024,0.818,-28.971,G_R3,10.043,6.645,1.222,T,9.461,G_R3,95.225,-51.113,G_R3,0.042,21.588,-14.948,NULL,N
6708,1729-1773-1,2.84815028895463E+018,400,400,225261,NULL,GJ 3003,NULL,NULL,Peg,NULL,0.08231152,23.26963135,T,26.3645,24.214,0.522,10.416,G_R3,7.82,5.715,0.755,HIP,7.455,G_R3,382.667,-7.444,G_R3,6.184,47.97,2.091,G 9 V,T
6763,9137-940-1,4.70296490108151E+018,407,407,225299,NULL,NULL,NULL,NULL,Tuc,NULL,0.08297727,-70.21244307,T,44.2835,14.988,0.326,-41.669,G_R3,8.13,4.899,0.71,HIP,12.225,G_R3,52.627,-96.448,G_R3,-15.149,10.721,-18.358,G5 V,T
6957,8028-1312-1,4.97313940222575E+018,420,420,23,NULL,NULL,NULL,NULL,Phe,NULL,0.08541499,-52.15174124,T,42.2803,25.936,0.58,-33.386,G_R3,7.53,4.399,0.577,HIP,34.799,G_R3,-110.73,-129.856,G_R3,1.296,-22.17,-43.448,G0 V,T
7026,3246-1142-1,3.8665501923496E+017,428,428,NULL,NULL,Gl 2,NULL,NULL,And,NULL,0.0863577,45.78657189,T,11.5035,8.02,0.181,8.245,G_R3,9.95,9.646,1.472,HIP,-0.792,G_R3,870.733,-151.392,G_R3,4.29,47.592,-6.325,M2,HYG
7156,9134-1936-1,4.70663050104968E+018,435,436,55,NULL,Gl 3,NULL,NULL,Tuc,NULL,0.08824589,-67.83258373,T,16.3917,6.183,0.143,-15.18,G_R3,8.49,7.417,1.076,HIP,40.149,G_R3,-116.618,-560.588,G_R3,-24.976,-9.641,-53.617,K5 V,T
7208,4669-996-1,2.44434873377922E+018,441,443,28,3,NULL,NULL,33,Psc,NULL,0.08892716,-5.70761634,T,42.5257,42.303,0.985,-4.229,G_R3,4.61,1.467,1.029,HIP,-3.811,G_R3,-11.985,89.314,G_R3,-1.945,-2.462,18.295,K0 III,T
7301,6995-1264-1,2.30696520256474E+018,442,439,225213,NULL,Gl 1,NULL,NULL,Scl,NULL,0.09012023,-37.35737365,T,4.346,3.4538,0.0811,-2.6377,G_R3,8.56,10.37,1.462,HIP,22.9,HYG,5633.438,-2334.721,G_R3,-13.719,115.769,-52.129,M2V,HYG
7317,8028-604-1,4.97660970573684E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.09027633,-50.04805783,T,24.1934,15.531,0.367,-18.546,G_R3,12.037,10.119,1.612,T,8.134,G_R3,-155.767,-11.498,G_R3,4.633,-17.76,-7.082,NULL,N
7407,1184-1852-1,2.84726707187959E+018,459,460,40,NULL,NULL,NULL,NULL,Peg,NULL,0.09134683,22.22449383,T,47.0452,43.538,1.041,17.794,G_R3,9.13,5.767,0.735,HIP,-3.712,G_R3,169.632,-74.195,G_R3,1.917,37.887,-16.722,G5,HYG
7466,5260-703-1,2.42870666904538E+018,461,462,63,NULL,NULL,NULL,NULL,Cet,NULL,0.09198915,-9.61747021,T,49.5863,48.875,1.177,-8.284,G_R3,7.13,3.653,0.446,HIP,0.985,G_R3,85.703,-75.914,G_R3,-2.495,20.091,-17.758,F6 V,T
7657,5260-131-1,2.44154704071253E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cet,NULL,0.09432679,-7.90355294,T,47.8971,47.428,1.171,-6.586,G_R3,9.693,6.291,1.019,T,1.478,G_R3,-30.416,9.331,G_R3,1.925,-6.861,1.895,K2/3 V,T
7684,3246-874-1,3.86653851004022E+017,472,473,38,NULL,Gl 4A,NULL,NULL,And,NULL,0.094664,45.812081,HIP_X,11.5207,8.028,0.199,8.261,G_R3,8.2,7.893,1.41,HIP,1.249,G_R3,888.479,-162.831,G_R3,6.044,48.687,-5.303,K2,HYG
7707,3664-1790-1,4.22699553020834E+017,474,475,70,NULL,NULL,NULL,NULL,Cas,NULL,0.09490876,58.31325244,T,46.8732,24.614,0.612,39.886,G_R3,8.22,4.865,0.636,HIP,-27.825,G_R3,64.312,-163.304,G_R3,15.901,14.69,-42.738,G0,HYG
7907,3660-960-1,4.20998849050618E+017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cas,NULL,0.09733867,56.5002187,T,36.1874,19.967,0.509,30.176,G_R3,9.187,6.394,1.078,T,-3.189,G_R3,27.98,40.534,G_R3,-7.678,4.606,1.178,NULL,N
7953,7526-1226-1,4.99585301464619E+018,489,490,105,NULL,NULL,NULL,NULL,Phe,NULL,0.09792953,-41.75306626,T,38.8298,28.958,0.743,-25.858,G_R3,7.51,4.564,0.595,HIP,2.046,G_R3,97.863,-76.502,G_R3,-8.31,17.807,-11.868,G0 V,T
7993,1181-1071-1,2.79711113099172E+018,491,493,101,NULL,NULL,NULL,NULL,Peg,NULL,0.09854137,18.23499667,T,37.4562,35.563,0.918,11.721,G_R3,7.45,4.582,0.596,HIP,-45.486,G_R3,-150.855,-147.978,G_R3,-34.277,-27.679,-39.189,F8,HYG
8018,1181-1183-1,2.7730865957667E+018,494,495,113,NULL,NULL,NULL,NULL,Peg,NULL,0.09874269,18.07587803,T,37.541,35.676,0.922,11.648,G_R3,8.58,5.707,0.92,HIP,-44.5,HYG,-147.421,-145.8,G_R3,-33.564,-27.112,-38.474,K0...,HYG
8473,3664-1986-1,NULL,517,518,123,5,Gl 4.1A,NULL,NULL,Cas,NULL,0.10439284,58.43680825,T,21.4777,11.238,0.307,18.3,HIP,5.98,4.32,0.687,HIP,-11.6,HYG,247.36,17.77,HYG,-8.299,24.967,-8.937,G 5 V,T
8532,8846-1590-1,4.89995790543957E+018,522,523,NULL,NULL,GJ 3006,NULL,NULL,Tuc,NULL,0.10525068,-65.83919547,T,17.4729,7.1488,0.1976,-15.9425,G_R3,12.17,10.958,1.55,HIP,NULL,N,197.387,-549.319,G_R3,-41.949,15.2,-18.623,M4,HYG
8542,8025-341-1,4.97689496028426E+018,521,522,142,6,Gl 4.2A,NULL,NULL,Phe,NULL,0.10532643,-49.07518591,T,26.1818,17.144,0.473,-19.782,G_R3,5.7,3.61,0.519,HIP,5.757,G_R3,575.099,-40.874,G_R3,-2.03,71.349,-7.673,F7 V,T
8739,8470-213-1,4.9179911674456E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tuc,NULL,0.10745589,-59.5628978,T,41.05,20.787,0.585,-35.393,G_R3,10.617,7.55,1.277,T,3.446,G_R3,57.141,-17.321,G_R3,-1.473,11.082,-4.679,NULL,N
8964,1735-927-1,2.86092462120526E+018,543,544,166,8,Gl 5,NULL,NULL,And,NULL,0.11021792,29.02150212,T,13.7662,12.033,0.347,6.678,G_R3,6.07,5.376,0.752,HIP,-6.754,G_R3,380.159,-177.73,G_R3,-0.995,24.79,-13.419,K0V,T
9113,NULL,2.44163050051708E+018,117960,NULL,NULL,NULL,GJ 1002,NULL,NULL,Cet,NULL,0.112155,-7.539302,GJ,4.84613520717228,4.8,0.141,-0.636,G_R3,13.75,15.323,1.98,GJ,-33.7,OTHER,-811.566,-1893.251,G_R3,-38.551,-19.784,-38.696,NULL,NULL
9254,6412-1068-1,2.3371911895291E+018,559,560,203,9,NULL,NULL,NULL,Cet,NULL,0.11391292,-23.10753877,T,39.7412,36.537,1.09,-15.597,G_R3,6.19,3.194,0.386,HIP,6.062,G_R3,96.969,-47.251,G_R3,1.537,18.322,-10.567,F2 IV,T
9738,5263-828-1,2.42782558227497E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cet,NULL,0.12058105,-10.60793234,T,46.5639,45.745,1.445,-8.572,G_R3,12.187,8.847,1.936,T,2.671,G_R3,-47.85,-39.563,G_R3,1.35,-10.525,-9.075,NULL,N
9941,6415-999-1,2.33629068950529E+018,605,606,268,NULL,NULL,NULL,NULL,Scl,NULL,0.12292918,-25.35664539,T,49.4732,44.684,1.439,-21.187,G_R3,7.06,3.588,0.463,HIP,8.723,G_R3,210.951,-134.649,G_R3,-7.23,49.266,-32.272,F5 V,T
10023,NULL,2.86095712551781E+018,117961,NULL,NULL,NULL,GJ 1003,NULL,NULL,And,NULL,0.123733,29.242444,GJ,21.1130370892723,18.413,0.598,10.314,G_R3,14.18,12.557,1.49,GJ,NULL,OTHER,1515.418,-1137.535,G_R3,50.675,153.393,-99.342,NULL,NULL
10154,6412-1017-1,2.33672894796883E+018,615,616,283,NULL,GJ 9003,NULL,NULL,Cet,NULL,0.12570619,-23.81872321,T,32.7949,29.985,0.987,-13.244,G_R3,8.7,6.121,0.798,HIP,-43.167,G_R3,320.873,91.243,G_R3,-35.385,48.746,30.409,K0 V,T
10613,3656-404-1,4.2065480499099E+017,640,641,299,NULL,NULL,NULL,NULL,Cas,NULL,0.1311342,55.57703714,T,48.819,27.581,0.947,40.27,G_R3,7.82,4.377,0.61,HIP,1.544,G_R3,203.258,9.589,G_R3,-2.572,46.978,2.528,G0,HYG
10757,NULL,2.75199913097726E+018,117962,NULL,NULL,NULL,GJ 3007,NULL,NULL,Psc,NULL,0.132959,8.006092,GJ,27.173026966512,26.892,0.936,3.785,G_R3,13.07,10.899,1.52,GJ,-26.79,G_R2,-352.882,-414.054,G_R3,-17.507,-46.093,-56.547,NULL,NULL
11124,5266-921-1,2.41745643171028E+018,668,669,361,NULL,NULL,NULL,NULL,Cet,NULL,0.13787831,-14.82448967,T,27.3099,26.384,0.953,-6.987,G_R3,7.04,4.858,0.624,HIP,7.885,G_R3,-14.371,-11.24,G_R3,7.312,-1.598,-3.424,G2/3 V,T
11289,1735-3180-1,NULL,676,677,358,15,NULL,Alp,21,And,Alpheratz,0.13976889,29.09082805,T,29.7442,25.975,0.951,14.461,HIP,2.07,-0.297,-0.038,HIP,-12,HYG,135.68,-162.95,HYG,-0.016,19.143,-25.912,B8P,T
11306,NULL,4.9194979794115E+018,117963,NULL,NULL,NULL,GJ 3009,NULL,NULL,Phe,NULL,0.139936,-57.088906,GJ,12.8077707306577,6.954,0.254,-10.752,G_R3,12.07,11.533,1.54,GJ,26.86,OTHER,-355.713,-44.256,G_R3,13.121,-21.131,-24.009,NULL,NULL
11356,7-632-1,2.74564797385685E+018,680,682,377,NULL,NULL,NULL,NULL,Psc,NULL,0.14048436,6.61679875,T,38.4045,38.123,1.403,4.425,G_R3,7.59,4.668,0.626,HIP,0.929,G_R3,87.525,-1.827,G_R3,0.374,15.959,-0.223,G2V,T
11393,1178-357-1,2.77280484591184E+018,685,687,NULL,NULL,GJ 3008,NULL,NULL,Peg,NULL,0.14091192,17.42429738,T,21.7436,20.732,0.765,6.511,G_R3,10.73,9.043,1.46,HIP,12.059,G_R3,-92.775,-66.023,G_R3,13.887,-9.057,-2.882,M0,HYG
11717,2271-1441-1,2.87752223026258E+018,697,699,400,17,Gl 6,NULL,NULL,And,NULL,0.1447048,36.62712815,T,32.6066,26.149,0.991,19.453,G_R3,6.21,3.643,0.504,HIP,-15.226,G_R3,-114.128,-124.518,G_R3,-0.068,-17.656,-24.53,F 7 V,T
12007,NULL,2.7987666476102E+018,117964,NULL,NULL,NULL,GJ 3010,NULL,NULL,Peg,NULL,0.148375,20.840034,GJ,18.0977459257449,16.901,0.657,6.438,G_R2,13.54,12.252,NULL,GJ,15.449,OTHER,-48.635,-260.193,G_R2,22.525,-3.3,-15.366,NULL,NULL
12069,4026-563-1,5.28378632083866E+017,721,723,404,NULL,NULL,NULL,NULL,Cas,NULL,0.14923272,66.45665336,T,36.3662,14.515,0.567,33.339,G_R3,8.57,5.767,0.885,HIP,-60.344,G_R3,177.744,4.33,G_R3,-25.966,29.65,-55.023,G5,HYG
12241,6415-1134-1,2.33367673805004E+018,736,738,NULL,NULL,Gl 7,NULL,NULL,Scl,NULL,0.15121302,-27.12217818,T,23.776,21.145,0.838,-10.839,G_R3,11.73,9.849,1.493,HIP,19.701,G_R3,692.224,90.067,G_R3,19.057,78.836,0.054,NULL,N
12359,3664-1985-1,NULL,744,746,432,21,Gl 8,Bet,11,Cas,Caph,0.152887,59.14978,HIP_X,16.7842,8.6,0.345,14.41,HIP,2.28,1.155,0.38,HIP,11.3,HYG,523.39,-180.42,HYG,16.438,42.335,2.34,F2III-IV,HYG
12421,4666-704-1,2.44498645052271E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.15375893,-4.13401315,T,33.44,33.326,1.342,-2.411,G_R3,12.009,9.388,2.82,T,13.535,G_R3,-193.188,-66.738,G_R3,13.959,-30.087,-11.528,NULL,N
12480,1732-1838-1,2.85030718717071E+018,752,754,471,NULL,NULL,NULL,NULL,Peg,NULL,0.15437392,25.28195662,T,43.903,39.665,1.604,18.75,G_R3,7.78,4.568,0.68,HIP,1.233,G_R3,173.627,-149.512,G_R3,12.932,36.688,-27.61,G0,HYG
12664,8022-1240-1,4.99051629444333E+018,763,765,496,25,Gl 9.1,Eps,NULL,Phe,NULL,0.15684383,-45.74742469,T,44.2319,30.84,1.267,-31.682,G_R3,3.88,0.651,1.013,HIP,-9.2,HYG,120.393,-179.597,G_R3,-34.401,23.852,-19.689,K0 III,T
13539,4026-321-1,5.28898838523503E+017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cep,NULL,0.16783686,67.4697402,T,39.8363,15.249,0.67,36.796,G_R3,9.811,6.81,1.038,T,2.634,G_R3,-37.357,-62.926,G_R3,12.284,-6.521,-2.12,K2,T
14850,4670-663-1,2.44363271119144E+018,895,897,NULL,NULL,GJ 3011,NULL,NULL,Psc,NULL,0.18461436,-5.78396893,T,24.3358,24.184,1.17,-2.453,G_R3,10.86,8.929,1.418,HIP,-5.92,G_R3,255.588,8.251,G_R3,-7.212,29.171,1.544,M2,HYG
14852,8-502-1,2.74216056349282E+018,896,898,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.18461942,5.20887351,T,37.0784,36.8823,1.7844,3.3661,G_R3,11.55,8.704,1.395,HIP,NULL,N,257.221,65.818,G_R3,-3.233,45.108,11.521,M2V:,HYG
15072,5839-1081-1,2.41661166318282E+018,908,910,693,33,Gl 10,NULL,6,Cet,NULL,0.18773843,-15.46798074,T,18.8861,18.18,0.894,-5.037,G_R3,4.89,3.509,0.487,HIP,14.946,G_R3,-82.828,-269.549,G_R3,8.323,-7.015,-27.244,F5 V,T
15197,3664-1579-1,4.22886126401496E+017,914,916,NULL,NULL,GJ 3012,NULL,NULL,Cas,NULL,0.18920772,58.34991355,T,30.4051,15.935,0.79,25.883,G_R3,9.5,7.085,1.254,HIP,-1.108,G_R3,234.52,21.579,G_R3,-4.899,33.601,0.689,K7,HYG
15229,2260-1042-1,2.86150203231272E+018,917,919,691,NULL,NULL,NULL,NULL,And,NULL,0.18956595,30.44957494,T,34.08,29.343,1.457,17.271,G_R3,7.95,5.288,0.755,HIP,-3.063,G_R3,209.639,35.601,G_R3,-7.228,33.551,3.406,K0V,T
15553,8467-433-1,4.91923200067675E+018,933,934,750,NULL,NULL,NULL,NULL,Phe,NULL,0.19327642,-57.47255397,T,37.1487,19.949,1.01,-31.321,G_R3,9.04,6.19,0.891,HIP,26.587,G_R3,135.19,-67.089,G_R3,3.125,23.996,-28.769,K1 V,T
15602,598-1459-1,2.7534964252958E+018,941,943,727,NULL,NULL,NULL,NULL,Psc,NULL,0.19373637,10.32833268,T,47.2241,46.399,2.355,8.467,G_R3,8.61,5.239,0.643,HIP,12.422,G_R3,-37.777,-50.164,G_R3,14.645,-7.724,-8.821,G0,T
15693,7523-138-1,4.99671183630661E+018,946,948,NULL,NULL,NULL,NULL,NULL,Scl,NULL,0.19490165,-39.22996016,T,34.9043,27.002,1.379,-22.075,G_R3,9.92,7.206,1.071,HIP,-17.99,G_R3,738.677,-126.022,G_R3,-33.321,120.681,-4.775,K 5 V,T
15744,6995-1262-1,2.30981310947946E+018,948,950,739,35,GJ 3013,The,NULL,Scl,NULL,0.19555809,-35.13311562,T,21.719,17.739,0.909,-12.499,G_R3,5.24,3.556,0.459,HIP,-1.154,G_R3,171.298,125.436,G_R3,5.577,17.946,11.226,F3/5 V,T
16179,1733-1834-1,2.85676568411265E+018,972,974,NULL,NULL,NULL,NULL,NULL,And,NULL,0.20111794,27.09895539,T,25.9164,23.039,1.214,11.806,G_R3,8.73,6.662,1.045,HIP,12.496,G_R3,283.168,-82.125,G_R3,13.867,35.568,-3.29,K0,HYG
16427,NULL,3.95234439752169E+017,117965,NULL,NULL,NULL,GJ 1004,NULL,NULL,Cas,NULL,0.204343,50.423483,GJ,10.8737492469929,6.918,0.37,8.381,G_R3,14.36,14.178,0.42,GJ,NULL,OTHER,-461.332,-551.667,G_R3,23.158,-22.574,-18.117,NULL,NULL
