id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
1652421,2601-1052-1,1.35143565323854E+018,82016,82267,151877,NULL,Gl 639,NULL,NULL,Her,NULL,16.80986521,37.01336723,T,31.3954,-7.685,-23.862,18.9,G_R3,8.4,5.916,0.821,HIP,1.91,G_R3,-59.858,-364.499,G_R3,-18.959,-29.806,-42.167,K7V,T
1652738,6218-333-1,4.13410716860704E+018,82032,82283,NULL,NULL,GJ 3973,NULL,NULL,Oph,NULL,16.81276659,-15.73892118,T,18.9918,-5.591,-17.404,-5.152,G_R3,10.89,9.497,1.468,HIP,-78.07,G_R3,-6.789,-220.299,G_R3,24.045,76.852,2.087,NULL,N
1653816,3070-426-1,1.35248379705785E+018,82082,82333,NULL,NULL,GJ 3974,NULL,NULL,Her,NULL,16.82352725,39.27624747,T,22.3716,-5.25,-16.503,14.163,G_R3,9.67,7.922,1.264,HIP,20.617,G_R3,96.452,-276.403,G_R3,-0.716,-35.993,-9.639,M0,HYG
1654314,9046-2666-1,5.81605133995121E+018,82106,82357,NULL,NULL,NULL,NULL,NULL,TrA,NULL,16.8284982,-65.07606445,T,28.6328,-3.643,-11.503,-25.966,G_R3,10.33,8.046,1.33,HIP,9,G_R3,74.477,-108.632,G_R3,12.529,6.08,-14.375,K7,HYG
1654490,5633-777-1,4.3344919258183E+018,82118,82369,151769,6243,NULL,NULL,20,Oph,NULL,16.83056353,-10.78303255,T,46.6307,-13.8057,-43.6772,-8.7241,G_R3,4.64,1.297,0.478,HIP,-1,HYG,104.147,-84.201,G_R3,23.297,-2.682,-18.097,F7 IV/V,T
1654570,6813-651-1,6.04689545547378E+018,82119,82370,151692,NULL,NULL,NULL,NULL,Oph,NULL,16.83143209,-24.44694627,T,33.1852,-9.099,-28.807,-13.734,G_R3,9.59,6.985,1.104,HIP,-29.755,G_R3,-276.593,-109.082,G_R3,-31.194,45.707,-3.307,K3 V,T
1654870,7880-536-1,5.96444579291604E+018,82132,82383,326260,NULL,NULL,NULL,NULL,Sco,NULL,16.8342985,-43.63993245,T,38.8651,-8.451,-26.827,-26.822,G_R3,10.23,7.282,1.22,HIP,NULL,N,56.389,-202.515,G_R3,17.646,21.438,-27.002,K5,HYG
1654929,5637-61-1,4.33374271172376E+018,82137,82388,151798,NULL,NULL,NULL,NULL,Oph,NULL,16.8347675,-12.38745422,T,42.643,-12.51,-39.727,-9.148,G_R3,7.95,4.801,0.627,HIP,-17.628,G_R3,-72.845,-105.737,G_R3,-7.497,25.219,-17.095,G3 V,T
1654932,1529-723-1,4.55984834444307E+018,82138,82389,151995,NULL,Gl 640,NULL,NULL,Her,NULL,16.83480154,18.90041448,T,27.417,-7.79,-24.741,8.881,G_R3,8.85,6.66,1.02,HIP,-5.693,G_R3,-46.93,-71.976,G_R3,-5.11,4.079,-10.694,K0,T
1655045,7367-804-1,NULL,82144,82396,151680,6241,NULL,Eps,26,Sco,Larawag,16.83605898,-34.29322839,T,19.5351,-4.842,-15.396,-11.007,HIP,2.29,0.836,1.144,HIP,-3,HYG,-611.83,-255.87,HYG,-49.3,32.099,-17.886,K2 IIIB,T
